Product / Vertical;Country;Vendor;Domain;Source type;CATEGORY;entity;Term Alias;Term code;Term name;Term description;Json/XML Tag(if different);Default representation;Color scale;Data type;Length;Decimal;Units (Symbols);Accuracy;Range;Data_visibility;Data_source;Granularity;time zone;KPIs of KPIs;KPI formula;Example;IP source;schema_db;db_table_source;hierarchy;first_collection;last_collection
WIRELESS;MEX;HUAWEI;RAN_3G;PM;QoS;UCELL;RRC_SUCCESS_PS;RRC_SUCCESS_PS;;Total de RRC Connection Establishments exitosos en el dominio PS, incluyendo transiciones de canal y cell updates válidos. Cell Update es un procedimiento del RRC usado por el UE cuando está en estado CELL_FACH o CELL_PCH / URA_PCH y necesita informar cambios o pedir recursos.;;;;integer;;0;;;;;;;;no;IFNULL((SUM(PM_RRC_SETUP_CELL.RRC_SUCCCONNESTAB_ORGBKGCALL+PM_RRC_SETUP_CELL.RRC_SUCCCONNESTAB_ORGINTERCALL+PM_RRC_SETUP_CELL.RRC_SUCCCONNESTAB_TMBKGCALL+PM_RRC_SETUP_CELL.RRC_SUCCCONNESTAB_TMITRCALL+PM_CELLUPDATE_CELL.VS_SUCCCELLUPDT_PAGERSP+PM_CELLUPDATE_CELL.VS_SUCCCELLUPDT_ULDATATRANS)-(SUM(PM_CELLUPDATE_CELL.VS_SUCCCELLUPDT_ORGCONVCALL_PCH+PM_CELLUPDATE_CELL.VS_SUCCCELLUPDT_TMCONVCALL_PCH+PM_CELLUPDATE_CELL.VS_SUCCCELLUPDT_EMGCALL_PCH))+SUM(PM_RRC_SETUP_CELL.RRC_SUCCCONNESTAB_ORGSTRCALL+PM_RRC_SETUP_CELL.RRC_SUCCCONNESTAB_ORGSUBCALL+PM_RRC_SETUP_CELL.RRC_SUCCCONNESTAB_TMSTRCALL+PM_RRC_SETUP_CELL.RRC_SUCCCONNESTAB_UNKOWN+PM_RRC_SETUP_CELL.RRC_SUCCCONNESTAB_ORGHHPRSIG+PM_RRC_SETUP_CELL.RRC_SUCCCONNESTAB_ORGLWPRSIG+PM_RRC_SETUP_CELL.RRC_SUCCCONNESTAB_CALLREEST+PM_RRC_SETUP_CELL.RRC_SUCCCONNESTAB_TMHHPRSIG+PM_RRC_SETUP_CELL.RRC_SUCCCONNESTAB_TMLWPRSIG)),0);;;;PM_RRC_SETUP_CELL,PM_CELLUPDATE_CELL;subnetwork,rbs,label;;
WIRELESS;MEX;NOKIA;RAN_3G;PM;QoS;UCELL;RRC_SUCCESS_PS;RRC_SUCCESS_PS;;Total de RRC Connection Establishments exitosos en el dominio PS, incluyendo transiciones de canal y cell updates válidos. Cell Update es un procedimiento del RRC usado por el UE cuando está en estado CELL_FACH o CELL_PCH / URA_PCH y necesita informar cambios o pedir recursos.;;;;integer;;0;;;;;;;;no;SUM(IFNULL(PM_SERVICE_LEVEL.MOC_INTER_CALL_ATTS,0)-IFNULL(PM_SERVICE_LEVEL.MOC_INTER_CALL_FAILS,0)+IFNULL(PM_SERVICE_LEVEL.MOC_BACKG_CALL_ATTS,0)-IFNULL(PM_SERVICE_LEVEL.MOC_BACKG_CALL_FAILS,0)+IFNULL(PM_SERVICE_LEVEL.MTC_INTER_CALL_ATTS,0)-IFNULL(PM_SERVICE_LEVEL.MTC_INTER_CALL_FAILS,0)+IFNULL(PM_SERVICE_LEVEL.MTC_BACKG_CALL_ATTS,0)-IFNULL(PM_SERVICE_LEVEL.MTC_BACKG_CALL_FAILS,0)+IFNULL(PM_SERVICE_LEVEL.MOC_HIGH_PRIOR_SIGN_ATTS,0)-IFNULL(PM_SERVICE_LEVEL.MOC_HIGH_PRIOR_SIGN_FAILS,0)+IFNULL(PM_SERVICE_LEVEL.MTC_HIGH_PRIOR_SIGN_ATTS,0)-IFNULL(PM_SERVICE_LEVEL.MTC_HIGH_PRIOR_SIGN_FAILS,0)-IFNULL(PM_SERVICE_LEVEL.RRC_ACC_REL_INTERACTIVE,0)-IFNULL(PM_SERVICE_LEVEL.RRC_ACC_REL_MO_BACKGROUND,0)-IFNULL(PM_SERVICE_LEVEL.RRC_ACC_REL_MO_HIGH_PR_SIGN,0)-IFNULL(PM_SERVICE_LEVEL.RRC_ACC_REL_MO_INTERACTIVE,0)-IFNULL(PM_SERVICE_LEVEL.RRC_ACC_REL_MT_BACKGROUND,0)-IFNULL(PM_SERVICE_LEVEL.RRC_ACC_REL_MT_HIGH_PR_SIGN,0));;;;PM_SERVICE_LEVEL;;;
WIRELESS;MEX;ERICSSON;RAN_3G;PM;QoS;UCELL;RRC_ATTEMPTS_PS;RRC_ATTEMPTS_PS;Intentos RRC PS;RRC_ATTEMPTS_PS=PS_RRC_ATTEMPTS. Número de veces que se intentó establecer una conexión RRC para servicios de datos (PS). Es el primer paso en el proceso de acceso del usuario a la red para transmitir datos. Ajusta por load sharing;;;;integer;;0;;;;;;;;no;SUM(PM_UTRANCELL.PMTOTNORRCCONNECTREQPS)-SUM(PM_UTRANCELL.PMNOLOADSHARINGRRCCONNPS)+SUM(IFNULL(PM_UTRANCELL.PMCHSWITCHATTEMPTURAFACH,0));;;;PM_UTRANCELL;subnetwork,rbs,utrancell;;
WIRELESS;MEX;HUAWEI;RAN_3G;PM;QoS;UCELL;RRC_ATTEMPTS_PS;RRC_ATTEMPTS_PS;Intentos RRC PS;Número de veces que se intentó establecer una conexión RRC para servicios de datos (PS). Es el primer paso en el proceso de acceso del usuario a la red para transmitir datos. Incluye Cell Update y tipos de llamada;;;;integer;;0;;;;;;;;no;"IFNULL(
(SUM(
PM_RRC_SETUP_CELL.RRC_ATTCONNESTAB_ORGBKGCALL+PM_RRC_SETUP_CELL.RRC_ATTCONNESTAB_ORGINTERCALL+PM_RRC_SETUP_CELL.RRC_ATTCONNESTAB_TMBKGCALL+PM_RRC_SETUP_CELL.RRC_ATTCONNESTAB_TMINTERCALL+PM_CELLUPDATE_CELL.VS_ATTCELLUPDT_PAGERSP+PM_CELLUPDATE_CELL.VS_ATTCELLUPDT_ULDATATRANS)-(SUM(PM_CELLUPDATE_CELL.VS_ATTCELLUPDT_ORGCONVCALL_PCH+PM_CELLUPDATE_CELL.VS_ATTCELLUPDT_TMCONVCALL_PCH+PM_CELLUPDATE_CELL.VS_ATTCELLUPDT_EMGCALL_PCH))+SUM(PM_RRC_SETUP_CELL.RRC_ATTCONNESTAB_ORGSTRCALL+PM_RRC_SETUP_CELL.RRC_ATTCONNESTAB_ORGSUBCALL+PM_RRC_SETUP_CELL.RRC_ATTCONNESTAB_TMSTRCALL+PM_RRC_SETUP_CELL.RRC_ATTCONNESTAB_UNKNOWN+PM_RRC_SETUP_CELL.RRC_ATTCONNESTAB_ORGHHPRSIG+PM_RRC_SETUP_CELL.RRC_ATTCONNESTAB_ORGLWPRSIG+PM_RRC_SETUP_CELL.RRC_ATTCONNESTAB_CALLREEST+PM_RRC_SETUP_CELL.RRC_ATTCONNESTAB_TMHHPRSIG+PM_RRC_SETUP_CELL.RRC_ATTCONNESTAB_TMLWPRSIG)),
0)";;;;PM_RRC_SETUP_CELL,PM_CELLUPDATE_CELL;subnetwork,rbs,label, tiimestamp;;
WIRELESS;MEX;NOKIA;RAN_3G;PM;QoS;UCELL;RRC_ATTEMPTS_PS;RRC_ATTEMPTS_PS;Intentos RRC PS;Número de veces que se intentó establecer una conexión RRC para servicios de datos (PS). Es el primer paso en el proceso de acceso del usuario a la red para transmitir datos. Ajusta por intentos reportados y liberaciones;;;;integer;;0;;;;;;;;no;SUM(IFNULL(PM_SERVICE_LEVEL.MOC_INTER_CALL_ATTS,0)+IFNULL(PM_SERVICE_LEVEL.MOC_BACKG_CALL_ATTS,0)+IFNULL(PM_SERVICE_LEVEL.MOC_HIGH_PRIOR_SIGN_ATTS,0)+IFNULL(PM_SERVICE_LEVEL.MTC_INTER_CALL_ATTS,0)+IFNULL(PM_SERVICE_LEVEL.MTC_BACKG_CALL_ATTS,0)+IFNULL(PM_SERVICE_LEVEL.MTC_HIGH_PRIOR_SIGN_ATTS,0)-IFNULL(PM_SERVICE_LEVEL.RRC_ATT_REP_INTERACTIVE,0)-IFNULL(PM_SERVICE_LEVEL.RRC_ATT_REP_MO_INTERACTIVE,0)-IFNULL(PM_SERVICE_LEVEL.RRC_ATT_REP_MO_HIGH_PR_SIGN,0)-IFNULL(PM_SERVICE_LEVEL.RRC_ATT_REP_MO_BACKGROUND,0)-IFNULL(PM_SERVICE_LEVEL.RRC_ATT_REP_MT_BACKGROUND,0)-IFNULL(PM_SERVICE_LEVEL.RRC_ATT_REP_MT_HIGH_PR_SIGN,0)-IFNULL(PM_SERVICE_LEVEL.RRC_ACC_REL_INTERACTIVE,0)-IFNULL(PM_SERVICE_LEVEL.RRC_ACC_REL_MO_BACKGROUND,0)-IFNULL(PM_SERVICE_LEVEL.RRC_ACC_REL_MO_HIGH_PR_SIGN,0)-IFNULL(PM_SERVICE_LEVEL.RRC_ACC_REL_MO_INTERACTIVE,0)-IFNULL(PM_SERVICE_LEVEL.RRC_ACC_REL_MT_BACKGROUND,0)-IFNULL(PM_SERVICE_LEVEL.RRC_ACC_REL_MT_HIGH_PR_SIGN,0));;;;PM_SERVICE_LEVEL;;;
WIRELESS;MEX;HUAWEI;RAN_3G;PM;QoS;UCELL;PS_FAIILURE_RRC;PS_FAIILURE_RRC;;PS_FAIILURE_RRC puede considerarse PS_FAILURE_RRC. Fallos en acceso RRC PS antes de llegar siquiera a un RAB PS;;;;integer;;0;;;;;;;;yes;RRC_ATTEMPTS_PS-RRC_SUCCESS_PS;;;;PM_RRC_SETUP_CELL,PM_CELLUPDATE_CELL;subnetwork,rbs,label;;
WIRELESS;MEX;ERICSSON;RAN_3G;PM;QoS;UCELL;PS_FAIILURE_RRC;PS_FAIILURE_RRC;;PS_FAIILURE_RRC puede considerarse PS_FAILURE_RRC. Fallos en acceso RRC PS antes de llegar siquiera a un RAB PS;;;;integer;;0;;;;;;;;yes;RRC_ATTEMPTS_PS-RRC_SUCCESS_PS;;;;PM_UTRANCELL;subnetwork,rbs,utrancell;;
WIRELESS;MEX;NOKIA;RAN_3G;PM;QoS;UCELL;PS_FAILURE_RRC;PS_FAILURE_RRC;;Número total de fallos en el establecimiento de conexiones RRC para servicios de paquete (PS - Packet Switched).;;;;integer;;0;;;;;;;;yes;RRC_ATTEMPTS_PS-RRC_SUCCESS_PS;;;;PM_SERVICE_LEVEL;;;
WIRELESS;MEX;ERICSSON;RAN_3G;PM;QoS;UCELL;PS_ACCESSIBILITY_RAB;PS_ACCESSIBILITY_RAB;;Tasa de accesibilidad de portadoras de datos (RAB) para servicios de paquete (PS). Un valor bajo sugiere problemas de congestión, interferencia o configuración incorrecta.;;;;percentage;;2;%;;0 to 100;;;;;yes;100*RAB_SUCCESS_PS/RAB_ATTEMPTS_PS;;;;PM_UTRANCELL,PM_UTRANCELL_X;subnetwork,rbs,utrancell;;
WIRELESS;MEX;HUAWEI;RAN_3G;PM;QoS;UCELL;PS_ACCESSIBILITY_RAB;PS_ACCESSIBILITY_RAB;;Tasa de accesibilidad de portadoras de datos (RAB) para servicios de paquete (PS). Un valor bajo sugiere problemas de congestión, interferencia o configuración incorrecta.;;;;percentage;;2;%;;0 to 100;;;;;yes;100*RAB_SUCCESS_PS/RAB_ATTEMPTS_PS;;;;PM_RAB_ESTABPS_CELL,PM_ALGO2_CELL;subnetwork,rbs,label;;
WIRELESS;MEX;NOKIA;RAN_3G;PM;QoS;UCELL;PS_ACCESSIBILITY_RAB;PS_ACCESSIBILITY_RAB;;Tasa de accesibilidad de portadoras de datos (RAB) para servicios de paquete (PS). Un valor bajo sugiere problemas de congestión, interferencia o configuración incorrecta.;;;;percentage;;2;%;;0 to 100;;;;;yes;100*RAB_SUCCESS_PS/RAB_ATTEMPTS_PS;;;;PM_SERVICE_LEVEL,PM_RRC;;;
WIRELESS;MEX;ERICSSON;RAN_3G;PM;QoS;UCELL;PS_ACCESSIBILITY_RRC;PS_ACCESSIBILITY_RRC;;Tasa de éxito (%) en el establecimiento de conexiones RRC para servicios de datos paquetizados (PS) en 3G;;;;percentage;;2;%;;0 to 100;;;;;yes;100*RRC_SUCCESS_PS/RRC_ATTEMPTS_PS;;;;PM_UTRANCELL;subnetwork,rbs,utrancell;;
WIRELESS;MEX;HUAWEI;RAN_3G;PM;QoS;UCELL;PS_ACCESSIBILITY_RRC;PS_ACCESSIBILITY_RRC;;Tasa de éxito (%) en el establecimiento de conexiones RRC para servicios de datos paquetizados (PS) en 3G;;;;percentage;;2;%;;0 to 100;;;;;yes;100*RRC_SUCCESS_PS/RRC_ATTEMPTS_PS;;;;PM_RRC_SETUP_CELL,PM_CELLUPDATE_CELL;subnetwork,rbs,label;;
WIRELESS;MEX;NOKIA;RAN_3G;PM;QoS;UCELL;PS_ACCESSIBILITY_RRC;PS_ACCESSIBILITY_RRC;;Tasa de éxito (%) en el establecimiento de conexiones RRC para servicios de datos paquetizados (PS) en 3G;;;;percentage;;2;%;;0 to 100;;;;;yes;100*RRC_SUCCESS_PS/RRC_ATTEMPTS_PS;;;;PM_SERVICE_LEVEL;;;
WIRELESS;MEX;ERICSSON;RAN_3G;PM;QoS;UCELL;RAB_SUCCESS_PS;RAB_SUCCESS_PS;;RAB_SUCCESS_PS=PS_RAB_SUCCESS. Número total de RAB PS establecidos con éxito, incluyendo intentos por tipo de tráfico y aquellos generados por movilidad/cambio de canal, excluyendo duplicidades con CS.;;;;integer;;0;;;;;;;;no;(SUM(PM_UTRANCELL.PMNORABESTABLISHSUCCESSPACKETINTERACTIVE)+SUM(IFNULL(PM_UTRANCELL.PMCHSWITCHSUCCURAHS,0))+SUM(IFNULL(PM_UTRANCELL.PMCHSWITCHSUCCURADCH,0))-SUM(IFNULL(PM_UTRANCELL_X.PMCHSWITCHSUCCURAHSCSINIT,0))-SUM(IFNULL(PM_UTRANCELL_X.PMCHSWITCHSUCCURADCHCSINIT,0)));;;;PM_UTRANCELL,PM_UTRANCELL_X;subnetwork,rbs,utrancell;;
WIRELESS;MEX;HUAWEI;RAN_3G;PM;QoS;UCELL;RAB_SUCCESS_PS;RAB_SUCCESS_PS;;RAB_SUCCESS_PS=PS_SUCCESS_RAB. Número total de RAB PS establecidos con éxito, incluyendo intentos por tipo de tráfico y aquellos generados por movilidad/cambio de canal, excluyendo duplicidades con CS.;;;;integer;;0;;;;;;;;no;IFNULL((SUM(PM_RAB_ESTABPS_CELL.VS_RAB_SUCCESTABPS_CONV+PM_RAB_ESTABPS_CELL.VS_RAB_SUCCESTABPS_STR+PM_RAB_ESTABPS_CELL.VS_RAB_SUCCESTABPS_INT+PM_RAB_ESTABPS_CELL.VS_RAB_SUCCESTABPS_BKG+PM_ALGO2_CELL.VS_DCCC_SUCC_F2D_AFTERP2F)),0);;;;PM_RAB_ESTABPS_CELL,PM_ALGO2_CELL;subnetwork,rbs,label;;
WIRELESS;MEX;NOKIA;RAN_3G;PM;QoS;UCELL;RAB_SUCCESS_PS;RAB_SUCCESS_PS;;RAB_SUCCESS_PS=NAS_ATTEMPTS_PS=NAS_SUCCESS_PS. Número total de RAB PS establecidos con éxito, incluyendo intentos por tipo de tráfico y aquellos generados por movilidad/cambio de canal, excluyendo duplicidades con CS.;;;;integer;;0;;;;;;;;no;SUM(IFNULL(PM_SERVICE_LEVEL.RAB_ACC_COMP_PS_INTER,0)+IFNULL(PM_SERVICE_LEVEL.RAB_ACC_COMP_PS_BACKG,0)+IFNULL(PM_SERVICE_LEVEL.RAB_ACC_COMP_PS_STREA,0)+IFNULL(PM_RRC.SUCC_FACH_TO_HS_DSCH,0));;;;PM_SERVICE_LEVEL,PM_RRC;;;
WIRELESS;MEX;ERICSSON;RAN_3G;PM;QoS;UCELL;RAB_ATTEMPTS_PS;RAB_ATTEMPTS_PS;;RAB_ATTEMPTS_PS=PS_RAB_ATTEMPTS. Este KPI mide cuántas veces se intentó establecer una portadora RAB (Radio Access Bearer) para servicios PS incluyendo la conmutaciones de canal. Es una fase posterior al establecimiento RRC y refleja el intento de habilitar el canal de datos entre el UE y la red.;;;;integer;;0;;;;;;;;no;(SUM(PM_UTRANCELL.PMNORABESTABLISHATTEMPTPACKETINTERACTIVE)+SUM(IFNULL(PM_UTRANCELL.PMCHSWITCHATTEMPTURAHS,0))+SUM(IFNULL(PM_UTRANCELL.PMCHSWITCHATTEMPTURADCH,0))-SUM(IFNULL(PM_UTRANCELL_X.PMCHSWITCHATTEMPTURAHSCSINIT,0))-SUM(IFNULL(PM_UTRANCELL_X.PMCHSWITCHATTEMPTURADCHCSINIT,0)));;;;PM_UTRANCELL,PM_UTRANCELL_X;subnetwork,rbs,utrancell;;
WIRELESS;MEX;HUAWEI;RAN_3G;PM;QoS;UCELL;RAB_ATTEMPTS_PS;RAB_ATTEMPTS_PS;;RAB_ATTEMPTS_PS=PS_ATTEMPTS_RAB=NAS_ATTEMPTS_PS=NAS_SUCCESS_PS. Este KPI mide cuántas veces se intentó establecer una portadora RAB (Radio Access Bearer) para servicios PS incluyendo la conmutaciones de canal. Es una fase posterior al establecimiento RRC y refleja el intento de habilitar el canal de datos entre el UE y la red.;;;;integer;;0;;;;;;;;no;IFNULL((SUM(PM_RAB_ESTABPS_CELL.VS_RAB_ATTESTABPS_CONV+PM_RAB_ESTABPS_CELL.VS_RAB_ATTESTABPS_STR+PM_RAB_ESTABPS_CELL.VS_RAB_ATTESTABPS_INT+PM_RAB_ESTABPS_CELL.VS_RAB_ATTESTABPS_BKG+PM_ALGO2_CELL.VS_DCCC_ATT_F2D_AFTERP2F)),0);;;;PM_RAB_ESTABPS_CELL,PM_ALGO2_CELL;subnetwork,rbs,label;;
WIRELESS;MEX;NOKIA;RAN_3G;PM;QoS;UCELL;RAB_ATTEMPTS_PS;RAB_ATTEMPTS_PS;;Este KPI mide cuántas veces se intentó establecer una portadora RAB (Radio Access Bearer) para servicios PS incluyendo la conmutaciones de canal. Es una fase posterior al establecimiento RRC y refleja el intento de habilitar el canal de datos entre el UE y la red.;;;;integer;;0;;;;;;;;no;SUM(IFNULL(PM_SERVICE_LEVEL.RAB_STP_ATT_PS_INTER,0)+IFNULL(PM_SERVICE_LEVEL.RAB_STP_ATT_PS_BACKG,0)+IFNULL(PM_SERVICE_LEVEL.RAB_STP_ATT_PS_STREA,0)+IFNULL(PM_RRC.ATT_FACH_TO_HS_DSCH,0));;;;PM_SERVICE_LEVEL,PM_RRC;;;
WIRELESS;MEX;HUAWEI;RAN_3G;PM;QoS;UCELL;PS_FAILURES_RAB;PS_FAILURES_RAB;;Número de fallos en el establecimiento de portadoras RAB para servicios Packet-Switched (PS);;;;integer;;0;;;;;;;;no;IFNULL((SUM(PM_RAB_ESTABPS_CELL.VS_RAB_ATTESTABPS_CONV+PM_RAB_ESTABPS_CELL.VS_RAB_ATTESTABPS_STR+PM_RAB_ESTABPS_CELL.VS_RAB_ATTESTABPS_INT+PM_RAB_ESTABPS_CELL.VS_RAB_ATTESTABPS_BKG+PM_ALGO2_CELL.VS_DCCC_ATT_F2D_AFTERP2F))-(SUM(PM_RAB_ESTABPS_CELL.VS_RAB_SUCCESTABPS_CONV+PM_RAB_ESTABPS_CELL.VS_RAB_SUCCESTABPS_STR+PM_RAB_ESTABPS_CELL.VS_RAB_SUCCESTABPS_INT+PM_RAB_ESTABPS_CELL.VS_RAB_SUCCESTABPS_BKG+PM_ALGO2_CELL.VS_DCCC_SUCC_F2D_AFTERP2F)),0);;;;PM_RAB_ESTABPS_CELL,PM_ALGO2_CELL;subnetwork,rbs,label;;
WIRELESS;MEX;ERICSSON;RAN_3G;PM;QoS;UCELL;PS_FAILURES_RAB;PS_FAILURES_RAB;;Número de fallos en el establecimiento de portadoras RAB para servicios Packet-Switched (PS);;;;integer;;0;;;;;;;;no;(SUM(PM_UTRANCELL.PMNORABESTABLISHATTEMPTPACKETINTERACTIVE)+ SUM(IFNULL(PM_UTRANCELL.PMCHSWITCHATTEMPTURAHS,0))+ SUM(IFNULL(PM_UTRANCELL.PMCHSWITCHATTEMPTURADCH,0))- SUM(IFNULL(PM_UTRANCELL_X.PMCHSWITCHATTEMPTURAHSCSINIT,0))- SUM(IFNULL(PM_UTRANCELL_X.PMCHSWITCHATTEMPTURADCHCSINIT,0)))-(SUM(PM_UTRANCELL.PMNORABESTABLISHSUCCESSPACKETINTERACTIVE)+ SUM(IFNULL(PM_UTRANCELL.PMCHSWITCHSUCCURAHS,0))+ SUM(IFNULL(PM_UTRANCELL.PMCHSWITCHSUCCURADCH,0))- SUM(IFNULL(PM_UTRANCELL_X.PMCHSWITCHSUCCURAHSCSINIT,0))- SUM(IFNULL(PM_UTRANCELL_X.PMCHSWITCHSUCCURADCHCSINIT,0)));;;;PM_UTRANCELL,PM_UTRANCELL_X;subnetwork,rbs,utrancell;;
WIRELESS;MEX;NOKIA;RAN_3G;PM;QoS;UCELL;PS_FAILURES_RAB;PS_FAILURES_RAB;;Número de fallos en el establecimiento de portadoras RAB para servicios Packet-Switched (PS);;;;integer;;0;;;;;;;;yes;RAB_ATTEMPTS_PS-RAB_SUCCESS_PS;;;;PM_SERVICE_LEVEL,PM_RRC;;;
WIRELESS;MEX;ERICSSON;RAN_3G;PM;QoS;UCELL;VOICE_RETAINABILITY;VOICE_RETAINABILITY;; Capacidad de la red para mantener activas las llamadas de voz (CS - Circuit Switched) sin interrupciones anormales (fallos de red, interferencia, movilidad, etc.). Este indicador es clave para evaluar la calidad de experiencia del usuario en servicios de voz.;;;;percentage;;2;%;;0 to 100;;;;;yes;ROUND(IFNULL((100-((DROPS_VOICE/(SUM(PM_UTRANCELL.PMNOSYSTEMRABRELEASESPEECH+PM_UTRANCELL.PMNONORMALRABRELEASESPEECH)))*100)),0),2);;;;PM_UTRANCELL;subnetwork,rbs,utrancell;;
WIRELESS;MEX;HUAWEI;RAN_3G;PM;QoS;UCELL;VOICE_RETAINABILITY;VOICE_RETAINABILITY;;Capacidad de la red para mantener activas las llamadas de voz (CS - Circuit Switched) sin interrupciones anormales (fallos de red, interferencia, movilidad, etc.). Este indicador es clave para evaluar la calidad de experiencia del usuario en servicios de voz.;;;;percentage;;2;%;;0 to 100;;;;;yes;ROUND(100-IFNULL((DROP_NUM_CS/DROP_DENOM_CS*100),0),2);;;;PM_RAB_RELABNORMAL_CELL;subnetwork,rbs,label;;
WIRELESS;MEX;NOKIA;RAN_3G;PM;QoS;UCELL;VOICE_RETAINABILITY;VOICE_RETAINABILITY;; Capacidad de la red para mantener activas las llamadas de voz (CS - Circuit Switched) sin interrupciones anormales (fallos de red, interferencia, movilidad, etc.). Este indicador es clave para evaluar la calidad de experiencia del usuario en servicios de voz.;;;;percentage;;2;%;;0 to 100;;;;;yes;ROUND(IFNULL(100*(1-(DROPS_VOICE/SUM(IFNULL(PM_SERVICE_LEVEL.RAB_ACT_FAIL_CS_VOICE_IU,0)+IFNULL(PM_SERVICE_LEVEL.RAB_ACT_FAIL_CS_VOICE_RADIO,0)+IFNULL(PM_SERVICE_LEVEL.RAB_ACT_FAIL_CS_VOICE_BTS,0)+IFNULL(PM_SERVICE_LEVEL.RAB_ACT_FAIL_CS_VOICE_IUR,0)+IFNULL(PM_SERVICE_LEVEL.RAB_ACT_FAIL_CS_VOICE_RNC,0)+IFNULL(PM_SERVICE_LEVEL.RAB_ACT_FAIL_CS_VOICE_UE,0)+IFNULL(PM_SERVICE_LEVEL.RAB_ACT_FAIL_CS_VOICE_TRANS,0)+IFNULL(PM_SERVICE_LEVEL.RAB_ACT_COMP_CS_VOICE,0)+IFNULL(PM_SERVICE_LEVEL.RAB_ACT_REL_CS_VOICE_SRNC,0)+IFNULL(PM_SERVICE_LEVEL.RAB_ACT_REL_CS_VOICE_P_EMP,0)+IFNULL(PM_SERVICE_LEVEL.RAB_ACT_REL_CS_VOICE_GANHO,0)+IFNULL(PM_SERVICE_LEVEL.RAB_ACT_REL_CS_VOICE_ISHO,0)+IFNULL(PM_SERVICE_LEVEL.RAB_ACT_REL_CS_VOICE_HHO,0)))),0),2);;;;PM_SERVICE_LEVEL;;;
WIRELESS;MEX;ERICSSON;RAN_3G;PM;QoS;UCELL;PS_RETAINABILITY;PS_RETAINABILITY;;Tasa de retención de RAB para PS.;;;;percentage;;2;%;;0 to 100;;;;;yes;100*(1-PS_RETAINABILITY_NUM/PS_RETAINABILITY_DENOM);;;;PM_UTRANCELL;subnetwork,rbs,utrancell;;
WIRELESS;MEX;HUAWEI;RAN_3G;PM;QoS;UCELL;PS_RETAINABILITY;PS_RETAINABILITY;;Tasa de retención de RAB para PS.;;;;percentage;;2;%;;0 to 100;;;;;yes;100*(1-PS_RETAINABILITY_NUM/PS_RETAINABILITY_DENOM);;;;PM_RAB_RELABNORMAL_CELL,PM_ALGO_CELL,PM_ALGO2_CELL;subnetwork,rbs,label;;
WIRELESS;MEX;NOKIA;RAN_3G;PM;QoS;UCELL;PS_RETAINABILITY;PS_RETAINABILITY;;Tasa de retención de RAB para PS.;;;;percentage;;2;%;;0 to 100;;;;;yes;100*(1-PS_RETAINABILITY_NUM/PS_RETAINABILITY_DENOM);;;;PM_SERVICE_LEVEL;;;
WIRELESS;MEX;ERICSSON;RAN_3G;PM;QoS;UCELL;PS_RETAINABILITY_NUM;PS_RETAINABILITY_NUM;;Fallos de retención de RAB PS.;;;;integer;;0;;;;;;;;no;sum(PM_UTRANCELL.PMNOSYSTEMRABRELEASEPACKET-PM_UTRANCELL.PMNOSYSTEMRABRELEASEPACKETURA-PM_UTRANCELL.PMCHSWITCHATTEMPTFACHURA+PM_UTRANCELL.PMCHSWITCHSUCCFACHURA-PM_UTRANCELL.PMCHSWITCHATTEMPTDCHURA+PM_UTRANCELL.PMCHSWITCHSUCCDCHURA-PM_UTRANCELL.PMCHSWITCHATTEMPTHSURA+PM_UTRANCELL.PMCHSWITCHSUCCHSURA);;;;PM_UTRANCELL;subnetwork,rbs,utrancell;;
WIRELESS;MEX;HUAWEI;RAN_3G;PM;QoS;UCELL;DROPS_PS;PS_RETAINABILITY_NUM;;DROPS_PS=PS_RETAINABILITY_NUM. Fallos de retención de RAB PS.;;;;integer;;0;;;;;;;;no;SUM(PM_RAB_RELABNORMAL_CELL.VS_RAB_ABNORMREL_PS-PM_RAB_RELABNORMAL_CELL.VS_RAB_ABNORMREL_PS_PCH-PM_RAB_RELABNORMAL_CELL.VS_RAB_ABNORMREL_PS_D2P-PM_RAB_RELABNORMAL_CELL.VS_RAB_ABNORMREL_PS_F2P);;;;PM_RAB_RELABNORMAL_CELL;subnetwork,rbs,label;;
